dataset,model,codec,quality,bpp,baseline_accuracy,compressed_accuracy,accuracy_delta,misclassifications,false_positives,false_negatives,total_images
EuroSAT,ResNet-18,JPEG-AI,q1,0.130,97.65,77.73,19.93,807,0,807,4050
EuroSAT,ResNet-18,JPEG-AI,q2,0.250,97.65,82.98,14.67,595,0,595,4050
EuroSAT,ResNet-18,JPEG-AI,q3,0.500,97.65,85.46,12.20,494,0,494,4050
EuroSAT,ResNet-18,JPEG-AI,q4,0.750,97.65,86.74,10.91,442,0,442,4050
EuroSAT,ResNet-18,JPEG-AI,q5,1.000,97.65,87.83,9.83,398,0,398,4050
EuroSAT,ResNet-18,JPEG-AI,q6,1.500,97.65,88.12,9.53,386,0,386,4050
EuroSAT,ResNet-18,MS-ILLM,q1,0.040,97.65,70.81,26.84,1088,0,1088,4050
EuroSAT,ResNet-18,MS-ILLM,q2,0.070,97.65,79.80,17.85,724,0,724,4050
EuroSAT,ResNet-18,MS-ILLM,q3,0.140,97.65,88.86,8.79,357,0,357,4050
EuroSAT,ResNet-18,MS-ILLM,q4,0.280,97.65,94.22,3.43,140,0,140,4050
EuroSAT,ResNet-18,MS-ILLM,q5,0.450,97.65,95.43,2.22,91,0,91,4050
EuroSAT,ResNet-18,MS-ILLM,q6,0.900,97.65,96.42,1.23,50,0,50,4050
EuroSAT,ResNet-18,JPEG2000,q1,0.100,97.65,14.02,83.63,3388,0,3388,4050
EuroSAT,ResNet-18,JPEG2000,q2,0.150,97.65,17.88,79.77,3231,0,3231,4050
EuroSAT,ResNet-18,JPEG2000,q3,0.250,97.65,41.09,56.56,2291,0,2291,4050
EuroSAT,ResNet-18,JPEG2000,q4,0.400,97.65,84.86,12.79,519,0,519,4050
EuroSAT,ResNet-18,JPEG2000,q5,0.700,97.65,97.73,-0.08,-3,3,0,4050
EuroSAT,ResNet-18,JPEG2000,q6,0.970,97.65,97.65,0.00,1,0,1,4050
EuroSAT,ResNet-18,jpeg,q1,0.257,97.65,46.99,50.67,2052,0,2052,4050
EuroSAT,ResNet-18,jpeg,q2,0.342,97.65,67.14,30.52,1236,0,1236,4050
EuroSAT,ResNet-18,jpeg,q3,0.446,97.65,84.00,13.65,553,0,553,4050
EuroSAT,ResNet-18,jpeg,q4,0.592,97.65,91.58,6.07,246,0,246,4050
EuroSAT,ResNet-18,jpeg,q5,0.890,97.65,96.64,1.01,41,0,41,4050
EuroSAT,ResNet-18,jpeg,q6,1.199,97.65,97.31,0.35,14,0,14,4050
EuroSAT,ResNet-18,cheng2020-attn,q1,0.127,97.65,34.30,63.36,2566,0,2566,4050
EuroSAT,ResNet-18,cheng2020-attn,q2,0.178,97.65,40.40,57.26,2319,0,2319,4050
EuroSAT,ResNet-18,cheng2020-attn,q3,0.259,97.65,49.60,48.05,1946,0,1946,4050
EuroSAT,ResNet-18,cheng2020-attn,q4,0.386,97.65,63.65,34.00,1377,0,1377,4050
EuroSAT,ResNet-18,cheng2020-attn,q5,0.529,97.65,74.84,22.81,924,0,924,4050
EuroSAT,ResNet-18,cheng2020-attn,q6,0.721,97.65,82.47,15.19,615,0,615,4050
EuroSAT,ViT-S/16,jpeg,q1,0.257,99.73,37.33,62.40,2527,0,2527,4050
EuroSAT,ViT-S/16,jpeg,q2,0.342,99.73,63.33,36.40,1474,0,1474,4050
EuroSAT,ViT-S/16,jpeg,q3,0.446,99.73,80.77,18.96,768,0,768,4050
EuroSAT,ViT-S/16,jpeg,q4,0.592,99.73,92.86,6.86,278,0,278,4050
EuroSAT,ViT-S/16,jpeg,q5,0.890,99.73,98.89,0.84,34,0,34,4050
EuroSAT,ViT-S/16,jpeg,q6,1.199,99.73,99.65,0.07,3,0,3,4050
EuroSAT,ViT-S/16,jpeg2000,q1,0.100,99.73,11.43,88.30,3576,0,3576,4050
EuroSAT,ViT-S/16,jpeg2000,q2,0.150,99.73,17.21,82.52,3342,0,3342,4050
EuroSAT,ViT-S/16,jpeg2000,q3,0.250,99.73,43.53,56.20,2276,0,2276,4050
EuroSAT,ViT-S/16,jpeg2000,q4,0.400,99.73,85.33,14.40,583,0,583,4050
EuroSAT,ViT-S/16,jpeg2000,q5,0.700,99.73,99.73,0.00,0,0,0,4050
EuroSAT,ViT-S/16,jpeg2000,q6,0.970,99.73,99.73,0.00,0,0,0,4050
EuroSAT,ViT-S/16,msillm,q1,0.040,99.73,64.64,35.09,1421,0,1421,4050
EuroSAT,ViT-S/16,msillm,q2,0.070,99.73,76.42,23.31,944,0,944,4050
EuroSAT,ViT-S/16,msillm,q3,0.140,99.73,85.21,14.52,588,0,588,4050
EuroSAT,ViT-S/16,msillm,q4,0.280,99.73,93.06,6.67,270,0,270,4050
EuroSAT,ViT-S/16,msillm,q5,0.450,99.73,96.74,2.99,121,0,121,4050
EuroSAT,ViT-S/16,msillm,q6,0.900,99.73,98.42,1.31,53,0,53,4050
EuroSAT,ViT-S/16,cheng2020-attn,q1,0.127,99.73,31.68,68.05,2756,0,2756,4050
EuroSAT,ViT-S/16,cheng2020-attn,q2,0.178,99.73,37.56,62.17,2518,0,2518,4050
EuroSAT,ViT-S/16,cheng2020-attn,q3,0.259,99.73,47.83,51.90,2102,0,2102,4050
EuroSAT,ViT-S/16,cheng2020-attn,q4,0.386,99.73,60.67,39.06,1582,0,1582,4050
EuroSAT,ViT-S/16,cheng2020-attn,q5,0.529,99.73,71.63,28.10,1138,0,1138,4050
EuroSAT,ViT-S/16,cheng2020-attn,q6,0.721,99.73,81.48,18.25,739,0,739,4050
EuroSAT,ViT-S/16,jpegai,q1,0.130,99.73,74.54,25.19,1020,0,1020,4050
EuroSAT,ViT-S/16,jpegai,q2,0.250,99.73,82.81,16.92,686,0,686,4050
EuroSAT,ViT-S/16,jpegai,q3,0.500,99.73,86.12,13.60,551,0,551,4050
EuroSAT,ViT-S/16,jpegai,q4,0.750,99.73,87.63,12.10,490,0,490,4050
EuroSAT,ViT-S/16,jpegai,q5,1.000,99.73,88.99,10.74,435,0,435,4050
EuroSAT,ViT-S/16,jpegai,q6,1.500,99.73,89.95,9.78,396,0,396,4050
RESISC45,ResNet-18,jpeg,q1,0.257,98.44,90.91,7.53,579,0,579,7700
RESISC45,ResNet-18,jpeg,q2,0.342,98.44,98.10,0.34,25,0,25,7700
RESISC45,ResNet-18,jpeg,q3,0.446,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg,q4,0.592,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg,q5,0.890,98.44,98.53,-0.09,-8,8,0,7700
RESISC45,ResNet-18,jpeg,q6,1.199,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg2000,q1,0.100,98.44,92.05,6.39,491,0,491,7700
RESISC45,ResNet-18,jpeg2000,q2,0.150,98.44,95.82,2.62,201,0,201,7700
RESISC45,ResNet-18,jpeg2000,q3,0.250,98.44,97.38,1.06,81,0,81,7700
RESISC45,ResNet-18,jpeg2000,q4,0.400,98.44,98.14,0.30,22,0,22,7700
RESISC45,ResNet-18,jpeg2000,q5,0.700,98.44,98.51,-0.07,-6,6,0,7700
RESISC45,ResNet-18,jpeg2000,q6,0.970,98.44,98.51,-0.07,-6,6,0,7700
RESISC45,ResNet-18,msillm,q1,0.040,98.44,95.21,3.23,248,0,248,7700
RESISC45,ResNet-18,msillm,q2,0.070,98.44,97.00,1.44,110,0,110,7700
RESISC45,ResNet-18,msillm,q3,0.140,98.44,97.94,0.50,38,0,38,7700
RESISC45,ResNet-18,msillm,q4,0.280,98.44,98.21,0.23,17,0,17,7700
RESISC45,ResNet-18,msillm,q5,0.450,98.44,98.38,0.06,4,0,4,7700
RESISC45,ResNet-18,msillm,q6,0.900,98.44,98.43,0.01,0,0,0,7700
RESISC45,ResNet-18,jpegai,q1,0.130,98.44,91.19,7.25,557,0,557,7700
RESISC45,ResNet-18,jpegai,q2,0.250,98.44,94.84,3.60,276,0,276,7700
RESISC45,ResNet-18,jpegai,q3,0.500,98.44,97.42,1.02,78,0,78,7700
RESISC45,ResNet-18,jpegai,q4,0.750,98.44,97.94,0.50,38,0,38,7700
RESISC45,ResNet-18,jpegai,q5,1.000,98.44,98.27,0.17,12,0,12,7700
RESISC45,ResNet-18,jpegai,q6,1.500,98.44,98.48,-0.04,-4,4,0,7700
RESISC45,ResNet-18,cheng2020-attn,q1,0.127,98.44,82.77,15.67,1206,0,1206,7700
RESISC45,ResNet-18,cheng2020-attn,q2,0.178,98.44,89.56,8.88,683,0,683,7700
RESISC45,ResNet-18,cheng2020-attn,q3,0.259,98.44,94.10,4.34,333,0,333,7700
RESISC45,ResNet-18,cheng2020-attn,q4,0.386,98.44,96.87,1.57,120,0,120,7700
RESISC45,ResNet-18,cheng2020-attn,q5,0.529,98.44,97.90,0.54,41,0,41,7700
RESISC45,ResNet-18,cheng2020-attn,q6,0.721,98.44,98.21,0.23,17,0,17,7700
RESISC45,ViT-S/16,jpeg,q1,0.257,99.60,96.40,3.20,246,0,246,7700
RESISC45,ViT-S/16,jpeg,q2,0.342,99.60,99.09,0.51,39,0,39,7700
RESISC45,ViT-S/16,jpeg,q3,0.446,99.60,99.43,0.17,13,0,13,7700
RESISC45,ViT-S/16,jpeg,q4,0.592,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,jpeg,q5,0.890,99.60,99.51,0.09,7,0,7,7700
RESISC45,ViT-S/16,jpeg,q6,1.199,99.60,99.48,0.12,9,0,9,7700
RESISC45,ViT-S/16,jpeg2000,q1,0.100,99.60,96.79,2.81,216,0,216,7700
RESISC45,ViT-S/16,jpeg2000,q2,0.150,99.60,97.82,1.78,137,0,137,7700
RESISC45,ViT-S/16,jpeg2000,q3,0.250,99.60,98.77,0.83,64,0,64,7700
RESISC45,ViT-S/16,jpeg2000,q4,0.400,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,jpeg2000,q5,0.700,99.60,99.42,0.18,14,0,14,7700
RESISC45,ViT-S/16,jpeg2000,q6,0.970,99.60,99.40,0.20,15,0,15,7700
RESISC45,ViT-S/16,msillm,q1,0.040,99.60,95.94,3.66,282,0,282,7700
RESISC45,ViT-S/16,msillm,q2,0.070,99.60,98.65,0.95,73,0,73,7700
RESISC45,ViT-S/16,msillm,q3,0.140,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,msillm,q4,0.280,99.60,99.32,0.28,21,0,21,7700
RESISC45,ViT-S/16,msillm,q5,0.450,99.60,99.40,0.20,15,0,15,7700
RESISC45,ViT-S/16,msillm,q6,0.900,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,jpegai,q1,0.130,99.60,94.25,5.35,412,0,412,7700
RESISC45,ViT-S/16,jpegai,q2,0.250,99.60,98.45,1.15,88,0,88,7700
RESISC45,ViT-S/16,jpegai,q3,0.500,99.60,99.29,0.31,24,0,24,7700
RESISC45,ViT-S/16,jpegai,q4,0.750,99.60,99.42,0.18,14,0,14,7700
RESISC45,ViT-S/16,jpegai,q5,1.000,99.60,99.45,0.15,11,0,11,7700
RESISC45,ViT-S/16,jpegai,q6,1.500,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,cheng2020-attn,q1,0.127,99.60,91.01,8.59,661,0,661,7700
RESISC45,ViT-S/16,cheng2020-attn,q2,0.178,99.60,94.08,5.52,425,0,425,7700
RESISC45,ViT-S/16,cheng2020-attn,q3,0.259,99.60,96.61,2.99,230,0,230,7700
RESISC45,ViT-S/16,cheng2020-attn,q4,0.386,99.60,98.68,0.92,71,0,71,7700
RESISC45,ViT-S/16,cheng2020-attn,q5,0.529,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,cheng2020-attn,q6,0.721,99.60,99.47,0.13,10,0,10,7700
